OBJECT_NAME,OBJECT_ID,OBJECT_TYPE,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,WEATHER,BRIGHTEST,EARTH_RESOURCES,NAVIGATION,SCIENTIFIC,MISCELLANEOUS,COMMUNICATION,active geosynchronous,constellations,active_geosynchronous
JAS-2 (FO-29),1996-046B,Sattelite,2026-02-22T20:38:50.803008,13.53267931,0.03504011,98.5403,278.2843,33.2104,329.0507,0,U,24278,999,45770,3.4511904e-05,0.0,0.0,False,False,False,False,False,False,False,False,satnogs,
INMARSAT 3-F2,1996-053A,Sattelite,2026-02-22T12:15:19.951776,0.99978912,0.0006042,9.5975,55.0891,283.272,263.066,0,U,24307,999,10777,0.0,-1.14e-06,0.0,False,False,False,False,False,False,False,False,False,geo_protected_zone_plus
INMARSAT 3-F3,1996-070A,Sattelite,2026-02-22T18:36:20.927808,1.00002639,0.00071916,10.0716,50.7361,264.0249,277.6546,0,U,24674,999,10676,0.0,-1.66e-06,0.0,False,False,False,False,False,False,False,False,False,geo_protected_zone_plus
NAVSTAR 43 (USA 132),1997-035A,Sattelite,2026-02-22T12:40:45.055200,2.00563898,0.00976961,55.9297,103.0578,56.3466,304.6553,0,U,24876,999,20965,0.0,7e-08,0.0,False,False,False,gps_operational,False,False,False,False,False,
FORTE,1997-047A,Sattelite,2026-02-22T21:54:04.047840,14.27889828,0.00191789,69.9515,272.126,72.2441,288.0772,0,U,24920,999,48237,8.9571287e-05,1.64e-06,0.0,False,False,False,False,False,False,False,False,satnogs,
AMC-3,1997-050A,Sattelite,2026-02-22T00:23:05.737632,1.00273747,0.0003129,7.8623,65.3939,263.1752,117.1247,0,U,24936,999,5128,0.0,-2.58e-06,0.0,False,False,False,False,False,False,False,False,ses,geo_protected_zone_plus
USA 134,1997-065A,Sattelite,2026-02-22T22:26:45.028896,1.00271477,0.00068694,12.6481,22.5644,298.1562,56.7301,0,U,25019,999,3180,0.0,-6.2e-07,0.0,False,False,False,False,False,False,False,False,False,geo_protected_zone_plus
ORBCOMM FM06,1997-084G,Sattelite,2026-02-22T22:17:50.174880,14.47201251,0.00011649,45.0123,242.6187,82.9367,69.9473,0,U,25118,999,47783,0.00042980253,1.44e-05,0.0,False,False,False,False,False,False,False,False,orbcomm,
INMARSAT 3-F5,1998-006B,Sattelite,2026-02-22T21:00:37.096704,1.00271077,0.00051392,9.4369,54.3774,280.7117,78.8609,0,U,25153,999,10274,0.0,-2.89e-06,0.0,False,False,False,False,False,False,False,False,False,geo_protected_zone_plus
ORBCOMM FM04,1998-007C,Sattelite,2026-02-22T21:51:03.277440,14.35495771,0.00395424,107.9634,294.3028,169.5781,190.6188,0,U,25159,999,46019,0.00033893451,8.52e-06,0.0,False,False,False,False,False,False,False,False,orbcomm,
CELESTIS-02 & TAURUS R/B,1998-007D,Sattelite,2026-02-22T21:46:51.742848,14.2244864,0.00627893,108.0112,101.6132,326.8151,113.4363,0,U,25160,999,45426,5.3695628e-05,-8e-08,0.0,False,False,False,False,False,other,False,False,False,
TECHSAT 1B (GO-32),1998-043D,Sattelite,2026-02-22T22:02:42.551520,14.24401493,0.00015488,99.001,43.8315,144.0865,216.0417,0,U,25397,999,43506,5.6256274e-05,8.3e-07,0.0,False,False,False,False,False,False,False,False,satnogs,
WESTPAC,1998-043E,Sattelite,2026-02-22T22:36:21.907872,14.23045617,0.00016906,99.0046,37.3394,141.0014,219.1286,0,U,25398,999,43469,1.8927739e-05,-4e-08,0.0,False,False,False,False,False,False,False,False,False,
ORBCOMM FM19,1998-046C,Sattelite,2026-02-22T01:38:36.761856,14.39218181,9.026e-05,44.9936,70.6522,92.7433,301.3026,0,U,25415,999,44019,0.00034426892,9.34e-06,0.0,False,False,False,False,False,False,False,False,orbcomm,
